iterationName	gameid	time	object1name	object1speakerX	object1speakerY	object1listenerX	object1listenerY	object2name	object2speakerX	object2speakerY	object2listenerX	object2listenerY	object3name	object3speakerX	object3speakerY	object3listenerX	object3listenerY	object4name	object4speakerX	object4speakerY	object4listenerX	object4listenerY	intendedName	clickedName	trialNum	correct	condition	contextType	eventType
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516427985638	stripedCircle2	1	2	2	2	blueSquare2	1	1	1	2	spottedCircle2	2	2	2	1	blueSquare1	2	1	1	1	blueSquare1	stripedCircle2	1	false	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428017769	spottedCircle1	1	2	2	2	blueSquare1	2	2	1	1	redSquare2	2	1	1	2	blueSquare2	1	1	2	1	blueSquare2	redSquare2	2	false	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428033326	blueSquare1	2	1	1	2	stripedCircle1	2	2	2	1	spottedCircle1	1	2	2	2	spottedCircle2	1	1	1	1	spottedCircle2	stripedCircle1	3	false	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428057004	blueSquare2	2	1	1	1	spottedCircle2	1	1	2	1	redSquare2	2	2	1	2	redSquare1	1	2	2	2	redSquare1	redSquare1	4	true	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428073462	blueSquare2	1	1	2	1	stripedCircle2	1	2	2	2	spottedCircle1	2	1	1	1	stripedCircle1	2	2	1	2	stripedCircle1	spottedCircle1	5	false	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428100336	redSquare1	2	2	2	2	spottedCircle1	2	1	1	2	stripedCircle1	1	1	2	1	stripedCircle2	1	2	1	1	stripedCircle2	stripedCircle2	6	true	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428117532	blueSquare1	1	1	1	1	redSquare1	2	1	2	2	stripedCircle1	2	2	1	2	redSquare2	1	2	2	1	redSquare2	blueSquare1	7	false	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428157731	redSquare2	1	1	2	1	spottedCircle2	2	2	1	2	blueSquare1	2	1	2	2	spottedCircle1	1	2	1	1	spottedCircle1	spottedCircle2	8	false	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428177612	stripedCircle2	2	2	2	2	blueSquare1	2	1	1	2	spottedCircle1	1	1	2	1	spottedCircle2	1	2	1	1	spottedCircle2	spottedCircle1	9	false	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428207019	blueSquare1	1	2	1	2	blueSquare2	2	2	2	2	stripedCircle1	1	1	1	1	stripedCircle2	2	1	2	1	stripedCircle2	stripedCircle2	10	true	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428245642	redSquare1	1	2	1	2	spottedCircle2	2	2	1	1	stripedCircle1	2	1	2	1	spottedCircle1	1	1	2	2	spottedCircle1	stripedCircle1	11	false	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428272290	blueSquare1	2	1	2	2	redSquare1	1	2	1	1	stripedCircle1	2	2	2	1	blueSquare2	1	1	1	2	blueSquare2	redSquare1	12	false	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428289080	blueSquare2	2	1	1	2	stripedCircle2	1	1	1	1	stripedCircle1	1	2	2	1	blueSquare1	2	2	2	2	blueSquare1	blueSquare2	13	false	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428318332	blueSquare2	1	2	2	2	stripedCircle2	2	1	1	2	blueSquare1	1	1	2	1	stripedCircle1	2	2	1	1	stripedCircle1	blueSquare1	14	false	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428336033	stripedCircle1	2	1	2	2	spottedCircle2	2	2	1	2	redSquare2	1	1	1	1	redSquare1	1	2	2	1	redSquare1	redSquare2	15	false	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428362740	spottedCircle1	1	2	1	2	redSquare1	2	1	2	2	stripedCircle1	1	1	1	1	redSquare2	2	2	2	1	redSquare2	redSquare1	16	false	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428379696	redSquare2	1	1	2	1	redSquare1	2	1	1	2	blueSquare1	1	2	1	1	blueSquare2	2	2	2	2	blueSquare2	blueSquare1	17	false	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428417201	stripedCircle2	1	1	2	2	spottedCircle2	2	1	1	2	blueSquare2	1	2	1	1	spottedCircle1	2	2	2	1	spottedCircle1	spottedCircle1	18	true	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428434535	spottedCircle1	2	1	1	1	redSquare2	2	2	2	2	stripedCircle1	1	2	1	2	redSquare1	1	1	2	1	redSquare1	redSquare1	19	true	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428451918	stripedCircle1	2	1	1	2	spottedCircle1	1	2	1	1	blueSquare2	1	1	2	2	blueSquare1	2	2	2	1	blueSquare1	blueSquare1	20	true	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428471728	blueSquare1	1	2	2	2	stripedCircle1	2	1	1	2	redSquare2	2	2	1	1	stripedCircle2	1	1	2	1	stripedCircle2	stripedCircle2	21	true	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428529179	spottedCircle1	2	1	2	2	stripedCircle1	2	2	1	1	blueSquare1	1	1	1	2	spottedCircle2	1	2	2	1	spottedCircle2	spottedCircle1	22	false	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428550165	spottedCircle2	1	1	1	1	redSquare1	2	2	1	2	stripedCircle2	2	1	2	1	redSquare2	1	2	2	2	redSquare2	redSquare2	23	true	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428613162	stripedCircle2	1	2	1	2	redSquare1	2	1	2	2	blueSquare2	2	2	2	1	stripedCircle1	1	1	1	1	stripedCircle1	stripedCircle1	24	true	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428639046	spottedCircle1	1	2	2	1	stripedCircle2	2	1	2	2	blueSquare1	1	1	1	1	blueSquare2	2	2	1	2	blueSquare2	blueSquare2	25	true	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428683688	stripedCircle1	2	1	2	1	redSquare1	2	2	1	2	spottedCircle2	1	1	2	2	spottedCircle1	1	2	1	1	spottedCircle1	spottedCircle2	26	false	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428701650	redSquare2	2	2	1	2	stripedCircle2	1	2	2	2	redSquare1	1	1	2	1	stripedCircle1	2	1	1	1	stripedCircle1	stripedCircle2	27	false	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428717453	blueSquare1	2	1	1	1	redSquare2	2	2	2	2	blueSquare2	1	2	1	2	redSquare1	1	1	2	1	redSquare1	redSquare1	28	true	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428738850	spottedCircle2	2	1	2	2	redSquare1	2	2	1	1	blueSquare1	1	1	2	1	redSquare2	1	2	1	2	redSquare2	spottedCircle2	29	false	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428762012	spottedCircle2	2	1	1	1	blueSquare2	1	1	2	1	stripedCircle1	2	2	1	2	stripedCircle2	1	2	2	2	stripedCircle2	spottedCircle2	30	false	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428776595	spottedCircle1	1	1	2	1	blueSquare1	1	2	1	1	stripedCircle2	2	2	2	2	spottedCircle2	2	1	1	2	spottedCircle2	stripedCircle2	31	false	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428806282	blueSquare2	1	1	2	2	spottedCircle1	1	2	2	1	redSquare2	2	1	1	1	blueSquare1	2	2	1	2	blueSquare1	blueSquare1	32	true	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428819744	spottedCircle1	1	2	2	1	redSquare1	2	2	1	2	stripedCircle2	1	1	2	2	redSquare2	2	1	1	1	redSquare2	spottedCircle1	33	false	subOnly	sub	clickedObj
experiment1	6395-a5cece2b-809a-43f9-9374-5dfd52f66e0e	1516428855306	redSquare2	2	1	2	1	spottedCircle2	1	2	1	1	blueSquare2	2	2	2	2	spottedCircle1	1	1	1	2	spottedCircle1	spottedCircle1	34	true	subOnly	sub	clickedObj
