iterationName	gameid	time	object1name	object1speakerX	object1speakerY	object1listenerX	object1listenerY	object2name	object2speakerX	object2speakerY	object2listenerX	object2listenerY	object3name	object3speakerX	object3speakerY	object3listenerX	object3listenerY	object4name	object4speakerX	object4speakerY	object4listenerX	object4listenerY	intendedName	clickedName	trialNum	correct	condition	contextType	eventType
experiment1	0739-342132e8-5d5a-43b7-b63e-e60e86a26a0d	1516480970746	stripedCircle2	1	2	1	2	blueSquare1	1	1	1	1	blueSquare2	2	2	2	2	stripedCircle1	2	1	2	1	stripedCircle1	blueSquare1	1	false	subOnly	sub	clickedObj
experiment1	0739-342132e8-5d5a-43b7-b63e-e60e86a26a0d	1516480986393	blueSquare2	2	1	1	1	stripedCircle1	1	1	2	1	redSquare2	2	2	2	2	blueSquare1	1	2	1	2	blueSquare1	blueSquare1	2	true	subOnly	sub	clickedObj
experiment1	0739-342132e8-5d5a-43b7-b63e-e60e86a26a0d	1516481002816	spottedCircle1	1	2	1	2	stripedCircle2	2	1	2	2	blueSquare2	1	1	1	1	spottedCircle2	2	2	2	1	spottedCircle2	spottedCircle1	3	false	subOnly	sub	clickedObj
experiment1	0739-342132e8-5d5a-43b7-b63e-e60e86a26a0d	1516481016294	spottedCircle2	2	2	2	2	redSquare1	1	1	1	1	blueSquare1	2	1	2	1	blueSquare2	1	2	1	2	blueSquare2	blueSquare1	4	false	subOnly	sub	clickedObj
experiment1	0739-342132e8-5d5a-43b7-b63e-e60e86a26a0d	1516481030359	spottedCircle1	1	2	2	2	redSquare1	1	1	1	1	blueSquare1	2	1	2	1	redSquare2	2	2	1	2	redSquare2	redSquare1	5	false	subOnly	sub	clickedObj
experiment1	0739-342132e8-5d5a-43b7-b63e-e60e86a26a0d	1516481045129	redSquare2	1	1	1	1	redSquare1	1	2	1	2	spottedCircle2	2	2	2	1	spottedCircle1	2	1	2	2	spottedCircle1	spottedCircle1	6	true	subOnly	sub	clickedObj
experiment1	0739-342132e8-5d5a-43b7-b63e-e60e86a26a0d	1516481056512	blueSquare1	2	1	1	2	stripedCircle1	2	2	1	1	spottedCircle1	1	1	2	1	stripedCircle2	1	2	2	2	stripedCircle2	stripedCircle2	7	true	subOnly	sub	clickedObj
experiment1	0739-342132e8-5d5a-43b7-b63e-e60e86a26a0d	1516481073496	stripedCircle2	1	2	1	2	redSquare2	2	2	2	2	stripedCircle1	1	1	1	1	redSquare1	2	1	2	1	redSquare1	stripedCircle2	8	false	subOnly	sub	clickedObj
experiment1	0739-342132e8-5d5a-43b7-b63e-e60e86a26a0d	1516481090326	spottedCircle2	1	1	2	2	stripedCircle1	2	1	1	1	redSquare2	1	2	1	2	spottedCircle1	2	2	2	1	spottedCircle1	spottedCircle1	9	true	subOnly	sub	clickedObj
experiment1	0739-342132e8-5d5a-43b7-b63e-e60e86a26a0d	1516481103527	stripedCircle2	1	1	1	1	blueSquare2	1	2	2	1	redSquare2	2	2	1	2	stripedCircle1	2	1	2	2	stripedCircle1	blueSquare2	10	false	subOnly	sub	clickedObj
experiment1	0739-342132e8-5d5a-43b7-b63e-e60e86a26a0d	1516481123614	redSquare1	2	1	2	1	stripedCircle1	1	2	1	2	redSquare2	2	2	2	2	stripedCircle2	1	1	1	1	stripedCircle2	stripedCircle2	11	true	subOnly	sub	clickedObj
experiment1	0739-342132e8-5d5a-43b7-b63e-e60e86a26a0d	1516481139281	redSquare1	1	2	1	1	blueSquare1	2	1	2	2	spottedCircle2	1	1	2	1	blueSquare2	2	2	1	2	blueSquare2	blueSquare2	12	true	subOnly	sub	clickedObj
experiment1	0739-342132e8-5d5a-43b7-b63e-e60e86a26a0d	1516481151992	stripedCircle1	1	2	1	2	spottedCircle2	2	1	2	1	blueSquare2	2	2	1	1	blueSquare1	1	1	2	2	blueSquare1	spottedCircle2	13	false	subOnly	sub	clickedObj
experiment1	0739-342132e8-5d5a-43b7-b63e-e60e86a26a0d	1516481168775	stripedCircle1	1	1	1	1	redSquare2	2	1	2	2	blueSquare2	1	2	1	2	redSquare1	2	2	2	1	redSquare1	redSquare1	14	true	subOnly	sub	clickedObj
experiment1	0739-342132e8-5d5a-43b7-b63e-e60e86a26a0d	1516481183516	blueSquare2	1	2	1	1	redSquare1	2	2	2	1	stripedCircle1	1	1	1	2	redSquare2	2	1	2	2	redSquare2	redSquare2	15	true	subOnly	sub	clickedObj
experiment1	0739-342132e8-5d5a-43b7-b63e-e60e86a26a0d	1516481202009	stripedCircle1	2	2	2	2	spottedCircle1	2	1	2	1	redSquare2	1	1	1	1	spottedCircle2	1	2	1	2	spottedCircle2	spottedCircle2	16	true	subOnly	sub	clickedObj
experiment1	0739-342132e8-5d5a-43b7-b63e-e60e86a26a0d	1516481221866	blueSquare2	2	1	1	1	spottedCircle2	2	2	1	2	stripedCircle1	1	1	2	2	stripedCircle2	1	2	2	1	stripedCircle2	blueSquare2	17	false	subOnly	sub	clickedObj
experiment1	0739-342132e8-5d5a-43b7-b63e-e60e86a26a0d	1516481239347	redSquare2	1	1	1	1	blueSquare1	2	1	2	1	spottedCircle1	1	2	2	2	blueSquare2	2	2	1	2	blueSquare2	spottedCircle1	18	false	subOnly	sub	clickedObj
experiment1	0739-342132e8-5d5a-43b7-b63e-e60e86a26a0d	1516481253772	stripedCircle2	1	1	2	2	redSquare1	1	2	2	1	spottedCircle2	2	2	1	2	redSquare2	2	1	1	1	redSquare2	redSquare2	19	true	subOnly	sub	clickedObj
experiment1	0739-342132e8-5d5a-43b7-b63e-e60e86a26a0d	1516481272828	blueSquare2	2	2	2	2	spottedCircle1	2	1	1	2	redSquare2	1	1	1	1	redSquare1	1	2	2	1	redSquare1	spottedCircle1	20	false	subOnly	sub	clickedObj
experiment1	0739-342132e8-5d5a-43b7-b63e-e60e86a26a0d	1516481297912	redSquare2	1	2	2	2	blueSquare2	2	1	1	2	redSquare1	1	1	2	1	blueSquare1	2	2	1	1	blueSquare1	blueSquare2	21	false	subOnly	sub	clickedObj
experiment1	0739-342132e8-5d5a-43b7-b63e-e60e86a26a0d	1516481314729	redSquare2	1	2	1	1	spottedCircle1	2	2	1	2	blueSquare2	2	1	2	2	spottedCircle2	1	1	2	1	spottedCircle2	spottedCircle2	22	true	subOnly	sub	clickedObj
experiment1	0739-342132e8-5d5a-43b7-b63e-e60e86a26a0d	1516481343988	spottedCircle2	2	1	2	2	redSquare2	1	1	2	1	blueSquare1	1	2	1	1	spottedCircle1	2	2	1	2	spottedCircle1	spottedCircle1	23	true	subOnly	sub	clickedObj
experiment1	0739-342132e8-5d5a-43b7-b63e-e60e86a26a0d	1516481360966	blueSquare2	1	1	2	2	stripedCircle2	1	2	1	2	redSquare1	2	1	1	1	stripedCircle1	2	2	2	1	stripedCircle1	blueSquare2	24	false	subOnly	sub	clickedObj
