iterationName	gameid	time	intendedName	trialNum	text	timeFromRoundStart	eventType
experiment1	1911-d4fb6fa3-cd0e-45e8-af0b-41f5d06c0331	1516483595326	spottedCircle2	1	pogo	27710	drop
experiment1	1911-d4fb6fa3-cd0e-45e8-af0b-41f5d06c0331	1516483622043	spottedCircle1	2	kelo	19275	drop
experiment1	1911-d4fb6fa3-cd0e-45e8-af0b-41f5d06c0331	1516483684363	redSquare1	3	mona	48094	drop
experiment1	1911-d4fb6fa3-cd0e-45e8-af0b-41f5d06c0331	1516483710974	stripedCircle2	4	lehe	19130	drop
experiment1	1911-d4fb6fa3-cd0e-45e8-af0b-41f5d06c0331	1516483743690	spottedCircle2	5	puki	15291	drop
experiment1	1911-d4fb6fa3-cd0e-45e8-af0b-41f5d06c0331	1516483771625	stripedCircle2	6	lamu	19181	drop
experiment1	1911-d4fb6fa3-cd0e-45e8-af0b-41f5d06c0331	1516483792341	stripedCircle1	7	lamu	9484	drop
experiment1	1911-d4fb6fa3-cd0e-45e8-af0b-41f5d06c0331	1516483810286	redSquare2	8	hani	8939	drop
experiment1	1911-d4fb6fa3-cd0e-45e8-af0b-41f5d06c0331	1516483842615	blueSquare1	9	huli	22378	drop
experiment1	1911-d4fb6fa3-cd0e-45e8-af0b-41f5d06c0331	1516483856590	blueSquare2	10	pogo	6479	drop
experiment1	1911-d4fb6fa3-cd0e-45e8-af0b-41f5d06c0331	1516483875769	blueSquare1	11	pogo	9812	drop
experiment1	1911-d4fb6fa3-cd0e-45e8-af0b-41f5d06c0331	1516483889543	stripedCircle1	12	pama	6157	drop
experiment1	1911-d4fb6fa3-cd0e-45e8-af0b-41f5d06c0331	1516483915981	redSquare2	13	hani	14228	drop
experiment1	1911-d4fb6fa3-cd0e-45e8-af0b-41f5d06c0331	1516483939320	blueSquare2	14	luho	11135	drop
experiment1	1911-d4fb6fa3-cd0e-45e8-af0b-41f5d06c0331	1516483959890	spottedCircle1	15	pogo	4565	drop
experiment1	1911-d4fb6fa3-cd0e-45e8-af0b-41f5d06c0331	1516483977686	redSquare1	16	lolu	6380	drop
experiment1	1911-d4fb6fa3-cd0e-45e8-af0b-41f5d06c0331	1516483994600	spottedCircle1	17	pogo	8062	drop
experiment1	1911-d4fb6fa3-cd0e-45e8-af0b-41f5d06c0331	1516484005905	blueSquare2	18	pogo	5424	drop
experiment1	1911-d4fb6fa3-cd0e-45e8-af0b-41f5d06c0331	1516484021393	spottedCircle2	19	pogo	8317	drop
experiment1	1911-d4fb6fa3-cd0e-45e8-af0b-41f5d06c0331	1516484042353	blueSquare1	20	niku	10610	drop
experiment1	1911-d4fb6fa3-cd0e-45e8-af0b-41f5d06c0331	1516484067001	redSquare2	21	hani	12813	drop
experiment1	1911-d4fb6fa3-cd0e-45e8-af0b-41f5d06c0331	1516484085583	stripedCircle2	22	pogo	10104	drop
experiment1	1911-d4fb6fa3-cd0e-45e8-af0b-41f5d06c0331	1516484109580	blueSquare1	23	pogo	15724	drop
experiment1	1911-d4fb6fa3-cd0e-45e8-af0b-41f5d06c0331	1516484131073	stripedCircle1	24	pogo	13428	drop
