iterationName	gameid	time	blueSquare1	blueSquare2	redSquare1	redSquare2	spottedCircle1	spottedCircle2	stripedCircle1	stripedCircle2	target	finalRole	eventType
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426684151	false	false	false	true	false	false	false	false	pawe	listener	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426699271	false	false	false	false	false	false	false	false	weha	listener	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426701345	false	false	false	false	false	false	false	false	geho	listener	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426705642	false	false	false	false	false	false	false	false	higi	listener	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426710788	false	false	false	true	false	false	false	false	haga	listener	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426713363	false	false	false	false	false	false	false	false	giwu	listener	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426716730	true	false	false	false	false	false	false	false	momo	listener	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426721255	false	false	false	false	false	false	false	true	lumi	listener	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426725042	false	false	false	false	true	false	false	false	nahi	listener	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426728389	false	false	false	false	false	false	false	false	wuke	listener	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426728503	false	false	false	false	false	false	true	true	pawe	speaker	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426733322	false	false	false	false	false	false	true	true	weha	speaker	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426734262	false	true	false	false	false	false	false	false	nino	listener	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426738012	false	false	false	false	false	true	false	false	gopi	listener	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426741542	false	false	false	false	true	false	false	false	geho	speaker	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426742956	false	false	false	false	false	false	true	false	lika	listener	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426747054	false	false	false	true	false	false	false	false	higi	speaker	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426750231	false	false	false	true	false	false	false	false	haga	speaker	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426754477	false	false	false	false	true	false	false	false	giwu	speaker	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426755142	false	false	true	false	false	false	false	false	piwo	listener	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426757908	true	false	false	false	false	false	false	false	momo	speaker	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426759093	false	false	true	false	false	false	false	false	kogo	listener	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426760748	false	false	false	false	false	false	false	true	lumi	speaker	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426764957	false	false	false	false	true	false	false	false	nahi	speaker	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426769106	false	false	false	false	false	false	false	false	kege	listener	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426769489	false	false	false	false	false	false	false	true	wuke	speaker	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426772268	false	true	false	false	false	false	false	false	nino	speaker	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426775856	false	false	false	false	false	true	false	false	gopi	speaker	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426778978	false	false	false	false	false	false	true	false	lika	speaker	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426783111	false	false	false	false	false	false	false	true	piwo	speaker	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426790416	false	false	true	false	false	false	false	false	kogo	speaker	postTest_word
experiment1	9856-4b5177c3-815a-4736-9100-7eb86577284b	1516426797145	false	false	true	false	false	false	false	false	kege	speaker	postTest_word
