iterationName	gameid	time	blueSquare1	blueSquare2	redSquare1	redSquare2	spottedCircle1	spottedCircle2	stripedCircle1	stripedCircle2	target	finalRole	eventType
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430045858	false	false	false	true	false	false	false	false	kuha	listener	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430055579	false	false	false	false	false	true	false	false	mohi	listener	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430075990	false	true	false	false	false	false	false	false	lelu	listener	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430080819	false	false	false	true	false	false	false	false	nani	listener	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430089619	false	false	false	false	false	false	true	false	mupi	listener	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430096731	false	false	false	false	false	false	false	true	gana	listener	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430105477	false	false	true	false	false	false	false	false	koma	listener	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430113270	false	false	false	false	true	false	false	false	lono	listener	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430116876	false	false	false	false	false	true	false	false	mawe	listener	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430120557	false	false	true	false	false	false	false	false	lali	listener	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430123789	true	false	false	false	false	false	false	false	peki	listener	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430131760	false	false	false	true	false	false	false	false	nomi	listener	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430134622	false	false	false	true	false	false	false	false	kuha	speaker	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430135043	false	false	false	false	false	false	true	false	hiwo	listener	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430138271	false	false	false	false	false	true	false	false	hage	listener	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430143180	false	false	false	false	false	true	false	false	mohi	speaker	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430146163	true	false	false	false	false	false	false	false	mene	listener	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430157691	false	true	false	false	false	false	false	false	kako	listener	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430165434	false	false	false	false	false	false	false	false	lelu	speaker	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430169051	false	false	false	false	false	false	false	false	nani	speaker	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430178602	false	false	false	false	false	false	true	false	mupi	speaker	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430191257	false	false	false	false	false	false	true	false	gana	speaker	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430201703	false	false	false	false	false	false	false	false	koma	speaker	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430208930	false	false	false	false	true	false	false	false	lono	speaker	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430216205	false	false	false	false	false	false	false	false	mawe	speaker	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430220814	false	false	false	false	false	false	false	false	lali	speaker	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430225465	false	false	false	false	false	false	false	false	peki	speaker	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430228214	false	false	false	false	false	false	false	false	nomi	speaker	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430236841	false	false	false	false	false	false	false	false	hiwo	speaker	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430241956	false	false	false	false	false	false	false	false	hage	speaker	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430252113	true	false	false	false	false	false	false	false	mene	speaker	postTest_word
experiment1	1166-41f38389-fbf6-4b47-bae0-f1c85b55d97a	1516430259045	false	true	false	false	false	false	false	false	kako	speaker	postTest_word
