iterationName	gameid	time	blueSquare1	blueSquare2	redSquare1	redSquare2	spottedCircle1	spottedCircle2	stripedCircle1	stripedCircle2	target	finalRole	eventType
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431716689	false	false	false	false	false	false	true	true	niga	listener	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431719681	false	false	false	false	false	false	false	false	kowu	listener	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431722423	false	false	false	false	false	false	false	false	mepu	listener	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431725402	false	false	false	false	false	false	false	false	mapo	listener	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431728163	true	false	false	false	false	false	false	false	weki	listener	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431731215	false	false	false	false	false	false	false	false	nuwi	listener	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431734302	false	true	false	true	false	false	false	false	neho	listener	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431737022	false	false	false	false	true	true	false	false	pilu	listener	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431745871	true	false	false	false	false	false	false	false	gowe	listener	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431748636	false	false	false	false	false	false	false	false	poma	listener	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431756074	false	false	false	false	false	false	true	true	wumo	listener	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431760410	false	false	false	false	false	false	false	true	liku	listener	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431765231	true	false	true	false	false	false	false	false	lago	listener	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431767514	false	false	true	false	false	false	false	false	hala	listener	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431770116	false	false	false	false	false	false	false	false	mupa	listener	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431772698	false	false	false	false	false	false	false	false	genu	listener	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431820120	false	false	false	false	false	false	true	true	niga	speaker	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431824306	false	true	false	false	false	false	false	false	kowu	speaker	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431833125	false	false	false	false	false	false	false	false	mepu	speaker	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431836275	false	false	false	false	false	false	false	false	mapo	speaker	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431839784	false	false	false	false	false	false	false	false	weki	speaker	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431842803	false	false	false	false	false	false	false	false	nuwi	speaker	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431847222	false	false	false	true	false	false	false	false	neho	speaker	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431851798	false	false	false	false	true	true	false	false	pilu	speaker	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431854611	false	false	false	false	false	false	false	false	gowe	speaker	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431859305	false	false	false	false	false	false	false	true	poma	speaker	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431864440	false	true	false	false	false	false	false	false	wumo	speaker	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431868156	false	false	false	false	false	true	false	false	liku	speaker	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431871961	true	false	false	false	false	false	false	false	lago	speaker	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431875153	false	false	true	false	false	false	false	false	hala	speaker	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431878000	false	false	false	false	false	false	false	false	mupa	speaker	postTest_word
experiment1	4036-66234428-5b8f-4548-b1d1-3e3262766935	1516431880845	false	false	false	false	false	false	false	false	genu	speaker	postTest_word
