iterationName	gameid	time	object1name	object1speakerX	object1speakerY	object1listenerX	object1listenerY	object2name	object2speakerX	object2speakerY	object2listenerX	object2listenerY	object3name	object3speakerX	object3speakerY	object3listenerX	object3listenerY	object4name	object4speakerX	object4speakerY	object4listenerX	object4listenerY	intendedName	clickedName	trialNum	correct	condition	contextType	eventType
experiment2_pilot	0644-31c5642f-9992-4e44-92a9-952322b4e665	1525116428960	spottedCircle2	1	2	2	2	stripedCircle2	2	2	1	1	stripedCircle1	2	1	2	1	spottedCircle1	1	1	1	2	spottedCircle1	stripedCircle2	1	false	mixed	singleton	clickedObj
experiment2_pilot	0644-31c5642f-9992-4e44-92a9-952322b4e665	1525116449304	spottedCircle1	2	1	2	2	spottedCircle2	1	2	2	1	stripedCircle1	2	2	1	2	stripedCircle2	1	1	1	1	stripedCircles	stripedCircle2	2	false	mixed	set	clickedObj
experiment2_pilot	0644-31c5642f-9992-4e44-92a9-952322b4e665	1525116462684	spottedCircle1	1	1	1	2	stripedCircle2	2	2	2	2	stripedCircle1	2	1	1	1	spottedCircle2	1	2	2	1	spottedCircle2	stripedCircle1	3	false	mixed	singleton	clickedObj
experiment2_pilot	0644-31c5642f-9992-4e44-92a9-952322b4e665	1525116480609	stripedCircle2	2	2	1	2	spottedCircle1	1	1	2	2	spottedCircle2	1	2	1	1	stripedCircle1	2	1	2	1	stripedCircle1	spottedCircle2	4	false	mixed	singleton	clickedObj
experiment2_pilot	0644-31c5642f-9992-4e44-92a9-952322b4e665	1525116492721	stripedCircle2	1	2	1	2	stripedCircle1	2	2	2	1	spottedCircle1	1	1	2	2	spottedCircle2	2	1	1	1	spottedCircles	spottedCircle1	5	false	mixed	set	clickedObj
experiment2_pilot	0644-31c5642f-9992-4e44-92a9-952322b4e665	1525116510426	stripedCircle2	2	1	1	2	spottedCircle2	1	2	2	1	spottedCircle1	1	1	2	2	stripedCircle1	2	2	1	1	stripedCircle1	stripedCircle1	6	true	mixed	singleton	clickedObj
experiment2_pilot	0644-31c5642f-9992-4e44-92a9-952322b4e665	1525116525801	spottedCircle1	1	1	1	2	spottedCircle2	2	1	2	1	stripedCircle1	2	2	2	2	stripedCircle2	1	2	1	1	stripedCircles	spottedCircle2	7	false	mixed	set	clickedObj
experiment2_pilot	0644-31c5642f-9992-4e44-92a9-952322b4e665	1525116541929	stripedCircle2	2	1	2	2	stripedCircle1	2	2	1	2	spottedCircle1	1	2	2	1	spottedCircle2	1	1	1	1	spottedCircles	stripedCircle1	8	false	mixed	set	clickedObj
experiment2_pilot	0644-31c5642f-9992-4e44-92a9-952322b4e665	1525116566769	stripedCircle1	2	2	1	2	spottedCircle1	1	1	1	1	spottedCircle2	1	2	2	2	stripedCircle2	2	1	2	1	stripedCircle2	spottedCircle1	9	false	mixed	singleton	clickedObj
experiment2_pilot	0644-31c5642f-9992-4e44-92a9-952322b4e665	1525116586146	spottedCircle1	1	2	1	1	stripedCircle2	2	1	2	1	stripedCircle1	2	2	2	2	spottedCircle2	1	1	1	2	spottedCircle2	spottedCircle2	10	true	mixed	singleton	clickedObj
